Date,Title,Link,State,Image
"February 15, 2017","Hate groups in Alabama on the rise, including KKK",https://www.al.com/news/mobile/2017/02/hate_groups_in_alabama_on_the.html,Alabama,
"May 31, 2016",Sudanese refugees living in Anchorage have vehicles vandalized,https://www.adn.com/anchorage/article/darfurian-refugees-wake-find-cars-covered-graffiti-telling-them-leave-alaska-police/2015/03/30/,Alaska,
"March 16, 2018",Two women took kids to a mosque and filmed themselves deriding the ‘illegal takeover’ by Muslims,https://www.washingtonpost.com/news/acts-of-faith/wp/2018/03/16/two-women-took-kids-to-a-mosque-and-filmed-themselves-deriding-the-illegal-takeover-by-muslims/,Arizona,https://www.washingtonpost.com/rf/image_960w/2010-2019/WashingtonPost/2016/03/09/Interactivity/Images/iStock_000078494691_Large1457496421.jpg
"October 20, 2016","FBI Investigates Graffiti Vandalism At Two Fort Smith Mosques, Suspects Wanted",https://www.5newsonline.com/article/news/local/outreach/back-to-school/fbi-investigates-graffiti-vandalism-at-two-fort-smith-mosques-suspects-wanted/527-0f226bf0-49bf-45f6-9039-48e2d680d433,Arkansas,https://media.tegna-media.com/assets/KFSM/images/96e6c41f-2102-4d7f-a775-4493295127f5/96e6c41f-2102-4d7f-a775-4493295127f5_1140x641.png
"October 14, 2016",Hate Crime Charges Filed In Attack on California Sikh Man,https://www.nbcnews.com/news/asian-america/hate-crime-charges-filed-attack-california-sikh-man-n666651,California,"https://media-cldnry.s-nbcnews.com/image/upload/t_fit-1240w,f_auto,q_auto:best/newscms/2016_41/1744096/maansinghkhalsa1.jpg"
"November 15, 2017",Boulder County sees increase in hate crime reports,https://www.denverpost.com/2017/11/15/boulder-county-hate-crime-reports/,Colorado,https://i2.wp.com/www.denverpost.com/wp-content/uploads/2017/11/20171115__16dcahatw-1.jpg?w=810&crop=0%2C0px%2C100%2C9999px
"November 9, 2017",Hate crime charges sought against student who rubbed bodily fluids on roommate's belongings,https://www.usatoday.com/story/news/nation-now/2017/11/09/hate-crime-charges-sought-against-university-hartford-student-who-rubbed-bodily-fluids-roommates-bel/847294001/,Connecticut,
"November 13, 2018","Hate crime in Delaware nearly doubles, according to new FBI data",https://www.delawareonline.com/story/news/local/2018/11/13/reports-hate-crime-delaware-nearly-double/1988527002/,Delaware,https://www.gannett-cdn.com/-mm-/d4f6d0ad33d4010d871f640984f6f28c115d8fbe/c=2-0-958-540/local/-/media/2017/08/23/Wilmington/Wilmington/636391025078590106-graffiti3.jpg?width=660&height=373&fit=crop&format=pjpg&auto=webp
"June 12, 2016","Orlando gay nightclub shooting: 50 killed, suspect is Omar Mateen",https://www.bbc.com/news/world-us-canada-36512308,Florida,https://ichef.bbci.co.uk/news/976/cpsprodpb/AD89/production/_89952444_89951977.jpg
"February 28, 2017",Racist Assault At A Child's Birthday Party Yields Long Prison Terms In Georgia,https://www.npr.org/sections/thetwo-way/2017/02/28/517688757/racist-assault-on-a-childs-birthday-party-yields-long-prison-terms-in-georgia,Georgia,https://media.npr.org/assets/img/2017/02/28/npr--ap17058784609948---02-28-170edit1_custom-994d582ca73458fb3f54fbdb9c194b238ce6a130-s800-c85.webp
"January 24, 2017",Idahoan admits to brutal murder of gay man as he pleaded for his life now faces hate charge,https://www.washingtonpost.com/news/morning-mix/wp/2017/01/24/idahoan-admits-to-brutal-murder-of-gay-man-as-he-pleaded-for-his-life-now-faces-hate-charge/,Idaho,
"July 13, 2018",Illinois man faces hate crime charges after incident with woman wearing Puerto Rico flag shirt,https://www.cnn.com/2018/07/12/us/illinois-puerto-rico-park-officer/index.html,Illinois,
"October 20, 2015",IU student dismissed after attack on Muslim woman,https://www.indystar.com/story/news/education/2015/10/20/iu-student-memory-attack-muslim-woman/74259858/,Indiana,
"November 18, 2015",Man jailed on hate crime charge in beating of black Iowa man,https://www.desmoinesregister.com/story/news/crime-and-courts/2015/11/18/man-jailed-hate-crime-charge-beating-black-iowa-man/75996414/,Iowa,
"June 9, 2017",Kansas man charged with hate crime in fatal shooting of Indian engineer,https://www.cbsnews.com/news/adam-purinton-faces-hate-crime-charges-in-fatal-shooting-of-indian-engineer/,Kansas,https://cbsnews1.cbsistatic.com/hub/i/2017/06/09/4b4c8012-a5ac-4171-9abc-4d8aadc434a4/ap-17160763141630.jpg
